time,event,customers_in_system,customers_in_queue,server_busy,total_arrivals,rejected_arrivals,completed_customers
6.646463735857231,arrival_queue,2,1,1,47,0,45
6.673456994174172,departure,1,0,1,47,0,46
6.7490705698353946,departure,0,0,0,47,0,47
6.83921913497444,arrival_service_start,1,0,1,48,0,47
6.907950639951447,arrival_queue,2,1,1,49,0,47
6.916033203958019,arrival_queue,3,2,1,50,0,47
6.952081456174877,departure,2,1,1,50,0,48
6.9861061939277995,departure,1,0,1,50,0,49
6.989807746210048,departure,0,0,0,50,0,50
6.995317827910656,arrival_service_start,1,0,1,51,0,50
7.0034486439955295,departure,0,0,0,51,0,51
7.805269322768356,arrival_service_start,1,0,1,52,0,51
7.8438438250932006,departure,0,0,0,52,0,52
7.8687389574249975,arrival_service_start,1,0,1,53,0,52
7.8751798808970035,departure,0,0,0,53,0,53
7.951925566431566,arrival_service_start,1,0,1,54,0,53
8.02352878261443,arrival_queue,2,1,1,55,0,53
8.137623720062168,arrival_queue,3,2,1,56,0,53
8.188714753961797,arrival_queue,4,3,1,57,0,53
8.21239140722494,departure,3,2,1,57,0,54
8.27734272360031,arrival_queue,4,3,1,58,0,54
8.293477630849168,arrival_queue,5,4,1,59,0,54
8.3794676402811,arrival_queue,6,5,1,60,0,54
8.405419826697479,departure,5,4,1,60,0,55
8.420900651205372,departure,4,3,1,60,0,56
8.45470139624257,departure,3,2,1,60,0,57
8.481475533001957,arrival_queue,4,3,1,61,0,57
8.50924123759122,departure,3,2,1,61,0,58
8.52542390672963,departure,2,1,1,61,0,59
8.639268712955744,departure,1,0,1,61,0,60
8.665454779867572,departure,0,0,0,61,0,61
8.681433141530327,arrival_service_start,1,0,1,62,0,61
8.778249009936715,departure,0,0,0,62,0,62
8.826663516376613,arrival_service_start,1,0,1,63,0,62
8.98557031776783,departure,0,0,0,63,0,63
9.000603170057532,arrival_service_start,1,0,1,64,0,63
9.035826380981135,arrival_queue,2,1,1,65,0,63
9.232620414411247,departure,1,0,1,65,0,64
9.294833343160978,arrival_queue,2,1,1,66,0,64
9.383257744142941,arrival_queue,3,2,1,67,0,64
9.395906816733586,departure,2,1,1,67,0,65
9.516863866024293,arrival_queue,3,2,1,68,0,65
9.600840468423382,departure,2,1,1,68,0,66
9.701834452048061,departure,1,0,1,68,0,67
9.789561808985217,arrival_queue,2,1,1,69,0,67
9.811720901358871,departure,1,0,1,69,0,68
9.97119565492362,departure,0,0,0,69,0,69
9.984632938475821,arrival_service_start,1,0,1,70,0,69
9.991931583388725,arrival_queue,2,1,1,71,0,69
10.003609857707044,arrival_queue,3,2,1,72,0,69
10.024134862720206,departure,2,1,1,72,0,70
10.047930844590963,departure,1,0,1,72,0,71
10.143844654887149,departure,0,0,0,72,0,72
10.514049817529663,arrival_service_start,1,0,1,73,0,72
10.60875776629574,departure,0,0,0,73,0,73
10.640669326492526,arrival_service_start,1,0,1,74,0,73
10.788552351425707,departure,0,0,0,74,0,74
11.0196097624036,arrival_service_start,1,0,1,75,0,74
11.047121392047222,arrival_queue,2,1,1,76,0,74
11.145312602155485,departure,1,0,1,76,0,75
11.162644001928225,departure,0,0,0,76,0,76
11.189960789342615,arrival_service_start,1,0,1,77,0,76
11.238041024236038,arrival_queue,2,1,1,78,0,76
11.2863256413326,departure,1,0,1,78,0,77
11.301881701619672,arrival_queue,2,1,1,79,0,77
11.377922587126326,arrival_queue,3,2,1,80,0,77
11.387499404262503,departure,2,1,1,80,0,78
11.40913307523872,arrival_queue,3,2,1,81,0,78
11.495529045997708,departure,2,1,1,81,0,79
11.540649955372407,departure,1,0,1,81,0,80
11.632839098845489,departure,0,0,0,81,0,81
11.795313194023924,arrival_service_start,1,0,1,82,0,81
11.830359806240592,departure,0,0,0,82,0,82
11.987485042873061,arrival_service_start,1,0,1,83,0,82
